Timestamp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Acceptance,Age,Gender
11/13/2018 15:57:53,2,1,2,1,0,1,0,1,2,1,Quota 3 (International student),19,Female
11/13/2018 16:01:46,2,1,1,1,0,1,1,1,0,1,Quota 2,24,Female
11/13/2018 16:03:52,1,2,1,0,1,1,2,0,0,0,Quota 1,22,Female
11/13/2018 16:06:35,3,1,4,0,1,2,0,1,0,0,Quota 2,23,Male
11/13/2018 16:11:49,0,2,2,1,2,1,1,3,0,0,Quota 3 (International student),20,Female
11/13/2018 19:07:38,3,3,2,1,2,2,3,2,3,1,Quota 3 (International student),23,Female
11/13/2018 19:31:04,2,3,3,2,1,3,0,2,2,2,Quota 3 (International student),19,Female
11/13/2018 19:38:25,0,3,2,1,1,4,1,2,2,4,Quota 3 (International student),19,Female
11/13/2018 21:17:31,2,3,1,2,1,1,1,2,3,1,Quota 3 (International student),19,Female
11/13/2018 22:19:57,2,2,2,2,1,2,1,2,1,1,Quota 3 (International student),19,Female
11/14/2018 9:01:36,2,2,3,1,2,3,1,2,1,1,Quota 3 (International student),20,Male
11/14/2018 9:04:53,2,3,3,2,2,3,2,3,2,2,Quota 3 (International student),25,Female
11/14/2018 9:16:28,1,1,1,1,1,2,1,1,2,1,Quota 1,22,Male
11/14/2018 9:18:56,4,4,4,0,1,2,1,1,4,3,Quota 3 (International student),24,Female
11/14/2018 11:49:51,1,2,3,1,1,3,2,2,1,3,Quota 2,23,Male
11/14/2018 12:49:53,0,1,2,0,1,1,1,1,0,1,Quota 1,22,Female
11/14/2018 12:52:38,1,1,2,4,1,2,0,1,0,1,Quota 2,22,Male
11/14/2018 13:21:40,2,1,3,1,2,2,1,1,1,0,Quota 2,21,Female
11/14/2018 13:25:50,2,3,3,2,2,2,2,3,2,1,Quota 2,22,Female
11/16/2018 12:06:06,1,2,1,1,1,1,2,1,1,0,Quota 1,22,Female
11/16/2018 12:06:49,3,2,1,2,2,2,1,3,2,2,Quota 1,20,Male
11/16/2018 12:07:29,0,0,0,0,1,1,1,1,0,1,Quota 2,21,Female
11/16/2018 12:08:59,3,4,2,2,2,2,2,2,3,2,Quota 1,20,Male
11/16/2018 13:51:57,2,3,2,3,2,3,2,3,1,3,Quota 1,21,Female
11/16/2018 14:00:06,1,2,1,1,2,1,2,1,2,0,Quota 2,20,Male
11/16/2018 14:01:49,3,3,3,2,2,2,2,2,0,1,Quota 1,20,Female
11/16/2018 14:06:14,2,1,2,1,1,1,1,0,1,0,Quota 1,19,Female
11/16/2018 14:08:37,2,1,0,0,1,0,0,1,3,1,Quota 1,21,Male
11/16/2018 14:17:52,2,1,2,2,2,1,2,2,1,0,Quota 2,23,Female
11/16/2018 14:19:18,0,0,0,0,1,1,1,1,0,1,Quota 2,21,Female
